"quizId","quiz_title","submission_id","submittedAt","question_number","question","answer","correct"
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","1ead5aa0-135e-c365-dd5a-34e28385fd54","2026-06-20T09:00:00Z",1,"What is the standard distance of a marathon?","42.195 km",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","1ead5aa0-135e-c365-dd5a-34e28385fd54","2026-06-20T09:00:00Z",2,"Who broke the 2-hour marathon barrier in an unofficial 2019 event?","Eliud Kipchoge",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","1ead5aa0-135e-c365-dd5a-34e28385fd54","2026-06-20T09:00:00Z",3,"Which major marathon is held on Patriots' Day?","Boston Marathon",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","1ead5aa0-135e-c365-dd5a-34e28385fd54","2026-06-20T09:00:00Z",4,"What Nike shoe technology is known for its carbon plate?","Vaporfly",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","1ead5aa0-135e-c365-dd5a-34e28385fd54","2026-06-20T09:00:00Z",5,"How many marathons make up the World Marathon Majors?","Six",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","7fdc5a8b-3b14-85dc-43c7-5d8893874e81","2026-06-20T10:07:00Z",1,"What is the standard distance of a marathon?","42.195 km",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","7fdc5a8b-3b14-85dc-43c7-5d8893874e81","2026-06-20T10:07:00Z",2,"Who broke the 2-hour marathon barrier in an unofficial 2019 event?","Kenenisa Bekele",False
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","7fdc5a8b-3b14-85dc-43c7-5d8893874e81","2026-06-20T10:07:00Z",3,"Which major marathon is held on Patriots' Day?","Boston Marathon",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","7fdc5a8b-3b14-85dc-43c7-5d8893874e81","2026-06-20T10:07:00Z",4,"What Nike shoe technology is known for its carbon plate?","Air Max",False
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","7fdc5a8b-3b14-85dc-43c7-5d8893874e81","2026-06-20T10:07:00Z",5,"How many marathons make up the World Marathon Majors?","Six",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","416d4409-c05e-0c73-7130-373b9ee20f76","2026-06-20T11:14:00Z",1,"What is the standard distance of a marathon?","42.195 km",True
"c1849e65-cc70-48e3-bdeb-ed2d62b7565f","Nike Run Club: Marathon Legends","416d4409-c05e-0c73-7130-373b9ee20f76","2026-06-20T11:14:00Z",2,"Who broke the 2-hour marathon barrier in an unofficial 2019 event?","Mo Farah",False
